"""ar""","""bg""","""ca""","""cs""","""da""","""de""","""el""","""en""","""en-GB""","""es""","""et""","""fi""","""fr""","""hi""","""hr""","""hu""","""id""","""is""","""it""","""iw""","""ja""","""ko""","""lt""","""lv""","""ml""","""nl""","""no""","""pl""","""pt-BR""","""pt-PT""","""ro""","""ru""","""sk""","""sl""","""sr""","""sv""","""ta""","""te""","""th""","""tr""","""uk""","""vi""","""zh-CN""","""zh-TW""","""bn""","""cy""","""es-419""","""fa""","""gu""","""hy""","""ka""","""kn""","""lo""","""mr""","""ne""","""ur""","""fr-CA""","""ms""","""es-MX""","""fil""","""pos""","""description""","""notes"""
"الصفحة الأولى","първа страница","pàgina d'inici","úvodní stránka","forside","Titelseite","αρχική σελίδα","frontpage","frontpage","página principal","esileht","etusivu","première page","मुखपृष्ठ","naslovnica","kezdőoldal","laman depan","upphafssíða","prima pagina","דף ראשון","トップページ","메인 페이지","pradžios puslapis","Pirmā lapa","മുന്‍പേജ്","voorpagina","forside","pierwsza strona","primeira página","primeira página","prima pagină","главная страница","titulná strana","začetna stran","главна страница","förstasidan","முதல்பக்கம்","మొదటి పేజి","หน้าหนึ่ง","ön sayfa","головна сторінка","trang chủ","资讯首页","首頁","","","","","","","","","","","","","","","","","noun","The page on Google News where a user usually accesses the product. Example: http://www.google.com/news?pz=1&amp;ned=us",""
"أعمال","Бизнес","Economia","Ekonomika","Erhverv","Wirtschaft","Οικονομία","Business","Business","Economía","Äri","talous","Économie","व्यवसाय","Posao","üzleti élet","bisnis","Viðskipti","Economia","עסקים","ビジネス","경제","Verslas","Uzņēmējdarbība","ബിസിനസ്സ്","Economie","Næringsliv","Gospodarka","Negócios","Economia","Afaceri","Бизнес","Obchod","gospodarstvo","Бизнис","Ekonomi","வணிகம்","వ్యాపారం","ธุรกิจ","İş","Бізнес","Kinh doanh","财经","財經","","","","","","","","","","","","","","","","","noun","Section: Shown in the left navigation bar of news search results. One of the 9 standard sections in Google News.",""
"مقالة رأي","","","názory","kronik","Op-Ed","άποψη","op-ed","op-ed","artículo de opinión","","","tribune","लेखक की राय","","vélemény","opini","","editoriale","מאמר דעה","論説","사설/칼럼","","","ഓപ്പ്-എഡ്","opinieartikel","lederartikkel","wstępniak","art. de opinião","Op/Ed","articol de opinie","независимое мнение","editoriál","","колумна","krönika","கருத்து பொதிந்த கட்டுரை","op-ed","ความเห็นบรรณาธิการ","serbest kürsü","Точка зору","bài viết bình luận độc lập","专栏","專欄","","","","","","","","","","","","","","","","","noun","An op-ed (short for opposite the editorial page) is an opinion-based article piece which expresses the opinions of an author. Users can apply a label by the same name, if their publication is opinion-based.",""
"مقالة رأي","","","názory","kronik","Op-Ed","άποψη","op-ed","op-ed","artículo de opinión","","","tribune","लेखक की राय","","vélemény","opini","","editoriale","מאמר דעה","論説","사설/칼럼","","","ഓപ്പ്-എഡ്","opinieartikel","lederartikkel","wstępniak","art. de opinião","Op/Ed","articol de opinie","независимое мнение","editoriál","","колумна","krönika","கருத்து பொதிந்த கட்டுரை","op-ed","ความเห็นบรรณาธิการ","serbest kürsü","Точка зору","bài viết bình luận độc lập","专栏","專欄","","","","","","","","","","","","","","","","","noun","An op-ed (short for opposite the editorial page) is an opinion-based article piece which expresses the opinions of an author. Users can apply a label by the same name, if their publication is opinion-based.",""
"رأي","","","názory","debatindhold","Meinungen","περιεχόμενο απόψεων","opinion content","opinion content","contenido de opinión","","","contenu d'opinion","राय सामग्री","","vélemény típusú tartalom","Konten opini","","editoriali","תוכן של הבעת דעה","意見コンテンツ","오피니언 콘텐츠","","","അഭിപ്രായ ഉള്ളടക്കം","opinie-inhoud","meningsytringer","opinie","conteúdo de opinião","conteúdo de opinião","conținut de opinie","мнение редакции","názor","","изношење мишљења","opinion","கருத்து உள்ளடக்கம்","అభిప్రాయ కంటెంట్","เนื้อหาความเห็น","görüş içeriği","незалежна думка","nội dung ý kiến","观点","讀者投書","","","","","","","","","","","","","","","","","noun","Label that is applied to a user's publication if they primarily publish opinion content.",""
"علوم وتكنولوجيا","Наука и технологии","ciència/tecnologia","Věda a technika","Videnskab/teknologi","Wissen/Technik","Επιστήμη και Τεχνολογία","Sci/Tech","Sci/Tech","Ciencia/Tecnología","Teadus/tehnoloogia","tiede/tekniikka","Science/Tech","विज्ञान/तकनीक","Znanost/tehnika","Tudomány/technológia","sains/teknologi","Tækni og vísindi","Scienze e tecnologie","מדע/טכנולוגיה","テクノロジー","과학기술","Moksl./techn.","Zinātne/tehnoloģijas","ശാസ്ത്രം/സാങ്കേതികം","Wetenschap/Techniek","Vitenskap og teknologi","Nauka/technika","Ciência/Tecnologia","Ciência e tecnologia","Ştiinţă/Tehnologie","Наука и техника","Veda a technika","znanost in tehnologija","Наука и техника","Vetenskap/teknik","அறிவியல்/தொழில்நுட்பம்","శాస్త్ర/సాంకేతిక","วิทย์/เทคโนฯ","Bilim/Teknoloji","Наука і техніка","Khoa học/Công nghệ","科技","科技","","","","","","","","","","","","","","","","","noun","Section. Shown in the left navigation bar of news search results &lt;p>URL showing this message:  &lt;a href=http://news.google.com/news?hl=en&amp;q=news target=example>http://news.google.com/news?hl=en&amp;q=news&lt;/a>",""
"بحث أرشيف الأخبار من Google","","Google News Archive Search","","Søgning i Googles nyhedsarkiv","Google News Archivsuche","Αναζήτηση σε αρχεία Eιδήσεων Google","Google News Archive Search","","Búsqueda en el archivo de Google Noticias","Google News Archive Search","Google-uutisarkistohaku","Recherche d'archives de Google Actualités","Google समाचार संग्रह खोज","Google pretraživanje arhive vijesti","Keresés a Google hírarchívumában","Penelusuran Arsip Google Warta","Google News Archive Search","Ricerca Archivio di Google News","חיפוש ארכיון של חדשות Google","Google ニュース アーカイブ検索","Google 뉴스 자료실 검색","„Google“ naujienų archyvo paieška","Meklēšana Google ziņu ahīvā","Google News Archive Search","Google News Archive Search","","Wyszukiwanie w archiwum Google News","","Pesquisa no arquivo do Google Notícias","Google News Archive Search","Поиск в архиве Новостей Google","Vyhľadávanie v archíve Google News","Google News Archive Search","Google News Archive Search","","Google News Archive Search","Google News Archive Search","Google ค้นคลังข่าว","Google Haberler Arşiv Araması","","","Google 新闻档案搜索","Google 新聞封存搜尋","Google News Archive Search","Chwilio Archif Newyddion Google","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","गुगल समाचार संग्रह खोज","Google News Archive Search","","","","","noun","Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"قسم","","","sekce","sektion","Bereich","ενότητα","section","section","sección","","","rubrique","अनुभाग","","panel","Rubrik","","sezione","מדור","セクション","섹션","","","വിഭാഗം","sectie","del","sekcja","seção","secção","secțiune","раздел","sekcia","","одељак","sektion","பிரிவு","విభాగం","หัวข้อ","bölüm","розділ","mục","版块","版面","","","","","","","","","","","","","","","","","noun","Specific to the Google News Publisher Center. A section is a subdirectory, subdomain, or index page of your news site where you post news articles. A section typically contains news articles that belong to the same category (e.g., “Business,” “Sports”) or topic (e.g., “US Elections”).",""
"إصدار","","","vydání","udgave","Ausgabe","έκδοση","edition","edition","edición","","","édition","संस्करण","","kiadás","edisi","","edizione","מהדורת","版","버전","","","പതിപ്പ്","versie","utgave","wydanie","edição","Edição","ediție","выпуск","edícia","","издање за","version","பதிப்பு","ఎడిషన్","ฉบับ","sürüm","випуск","ấn bản","版本","版","","","","","","","","","","","","","","","","","noun","A localized Google News property (homepage and related webpages).  An 'edition' corresponds to a market, or roughly speaking, a country or country+language. The UI of the edition is localized into the corresponding language, and the news articles and publications surfaced in it are often local to the market.",""
"التصنيف","","","štítek","etiket","Label","ετικέτα","label","label","etiqueta","","","libellé","लेबल","","címke","label","","etichetta","תווית","ラベル","라벨","","","ലേബൽ","label","etikett","etykieta","rótulo","etiqueta","etichetă","ярлык","štítok","","ознака","etikett","லேபிள்","లేబుల్","ป้ายกำกับ","etiket","мітка","nhãn","标签","標籤","","","","","","","","","","","","","","","","","noun","Labels are a pre-defined group of terms that are generally understood by users to characterize different types of news categories. These labels help Google News classify the content of your section or source.",""
"بحث الأرشيف","","Google Archive Search","","Archive Search","Google Archivsuche","Αναζήτηση σε αρχεία","Archive Search","Archive Search","Búsqueda en el archivo de Google","Archive Search","Arkistohaku","Google Recherche d'archives","Archive Search","Google pretraživanje arhive","Google Archive Search","Penelusuran Arsip","Archive Search","Ricerca archivi","Google Archive Search","アーカイブ検索","자료실 검색","","","Archive Search","Google News Archive Search","","Wyszukiwanie w archiwum","Pesquisa de Arquivo Google","Pesquisa no arquivo","Google Archive Search","Поиск в архиве","Vyhľadávanie v archíve","Google Archive Search","Google претрага архиве","","Archive Search","Archive Search","Archive Search","Arşiv Araması","","","Google Archive Search","Google Archive Search","Archive Search","Chwilio Archif","Archive Search","جستجوی اسناد","Archive Search","Archive Search","Archive Search","Archive Search","Archive Search","Archive Search","संग्रह खोज","Archive Search","Archive Search","Carian Arkib","","","noun","Short form of Google News Archive Search. Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"خبر وصورة","Версия с изображения","versió d'imatge","verze s fotografiemi","Billedversion","Bildversion","Έκδοση εικόνας","image version","image version","Versión de imagen","pildiversioon","kuvaversio","Version image","छवि संस्करण","Slikovna verzija","képes változat","versi gambar","myndaútgáfa","versione immagini","גרסת תמונה","画像モード","이미지 버전","vaizdo versija","Attēlu versija","ഇമേജ് പതിപ്പ്","versie met afbeeldingen","bildeversjon","wersja graficzna","versão de imagem","versão em imagens","versiunea în imagini","фотоверсия","obrázková verzia","slikovna različica","фото-верзија","Bildversion","படப்பதிப்பு","చిత్రపు వెర్షన్","ฉบับรูปภาพ","resimli sürüm","Графічна версія","phiên bản hình ảnh","图片集锦","圖片版本","","","","","","","","","","","","","","","","","noun","The Image Version of News lets you view and explore the top headlines of the day through photos instead of just text. Clicking on an image will take users directly to the article the image came from.",""
"تغطية شاملة","Пълно покритие","article complet","vše o tomto tématu","Fuld dækning","ganzer Artikel","Πλήρης κάλυψη","full coverage","full coverage","Cobertura total de la noticia","kõik artiklid","muut artikkelit aiheesta","toute l'actualité sur ce thème","संपूर्ण कवरेज","Potpuni sadržaj","minden kapcsolódó tudósítás","liputan lengkap","ítarleg umfjöllun","copertura completa","כיסוי תקשורתי מלא","すべての記事","전체기사","apima viską","Izvērsts izklāsts","പൂര്‍ണ്ണമായ പരമ്പര","volledig bericht","full dekning","wszystkie artykuły","cobertura completa","Cobertura completa","acoperire completă","полный обзор","úplné spravodajstvo","ostale novice","сва извештавања","Full täckning","முழு செய்திகள்","పూర్తి కవరేజి","บทความทั้งหมด","ilgili tüm haberler","повний огляд","toàn bộ bài viết có liên quan","专题报道","完整報導","","","","","","","","","","","","","","","","","noun","The body of a link that, when clicked on, takes the user to a full coverage of a news story",""
"تنبيهات الأخبار","Новинарски сигнали","Google News Alerts","","Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις ειδήσεων","News Alerts","Google News Alerts","Alertas de Noticias","News Alerts","","Alertes Google Actualités","समाचार सूचनाएं","Google News Alerts","Hírértesítő","Google News Alerts","Google Fréttamiðlun","News Alert","התראות של חדשות Google","","뉴스 알리미","News Alerts","Google News Alerts","News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","News Alerts","News Alerts","แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","News Alerts","Rhybuddion Newyddion","Alertas de Google Noticias","Google News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","समाचार चेतावनीहरु","News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","News Alerts is the short form of Google News Alerts. Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
"زاوية محلية","местна секция","secció local","místní sekce","lokalt afsnit","Lokalabschnitt","τοπική ενότητα","local section","local section","sección local","kohalik jaotis","paikalliset-osasto","rubrique locale","स्थानीय अनुभाग","lokalni odjeljak","helyi panel","rubrik lokal","héraðshluti","sezione locale","מדור מקומי","地域セクション","지역 섹션","vietos skiltis","Vietējā sadaļa","പ്രാദേശിക വിഭാഗം","lokaal gedeelte","lokalrubrikk","sekcja lokalna","seção local","secção local","secţiune locală","раздел местных новостей","miestna sekcia","novice iz regije","локални одељак","lokalt avsnitt","உள்ளூர் பகுதி","స్థానిక విభాగం","หมวดท้องถิ่น","yerel bölüm","розділ місцевих новин","mục địa phương","地方栏目","地方新聞版面","","","","","","","","","","","","","","","","","noun","A section you can add on a personalized page based on a zipcode/city you select. &lt;p>URL showing this message: &lt;a href=http://news.google.com/ >http://news.google.com/ &lt;/a>Label on an edit box for personalized page",""
"تنبيهات الأخبار من Google","Google Новинарски сигнали","Google News Alerts","Google News Alerts","Google Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις Ειδήσεων Google","Google News Alerts","Google News Alerts","Alertas de Google Noticias","Google News Alerts","","Alertes Google Actualités","Google समाचार अलर्ट","Google News Alerts","Google Hírértesítő","Google News Alerts","Google News Alerts","Google News Alert","התראות של חדשות Google","","","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","Google News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","Google News Alerts","Google News Alerts","Google แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","Google News Alerts","Rhybuddion Newyddion Google","Alertas de Google Noticias","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","गुगल समाचार सतर्कहरू","Google News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
"المالك","","","vlastník","ejer","Inhaber","κάτοχος","owner","owner","","","","propriétaire","स्वामी","","tulajdonos","pemilik","","proprietario","בעלים","オーナー","소유자","","","ഉടമ","eigenaar eigenaar (plural: eigenaren)","eier","właściciel","proprietário","proprietário","proprietar","владелец","vlastník","","власник","ägare","உரிமையாளர்","యజమాని","เจ้าของ","sahip","власник","chủ sở hữu","所有者","擁有者","","","","","","","","","","","","","","","","","noun","An owner of a news website (can be either a publishing house or web publisher in News).",""
"قسم","","","sekce","sektion","Bereich","ενότητα","section","section","sección","","","rubrique","अनुभाग","","panel","Rubrik","","sezione","מדור","セクション","섹션","","","വിഭാഗം","sectie","del","sekcja","seção","secção","secțiune","раздел","sekcia","","одељак","sektion","பிரிவு","విభాగం","หัวข้อ","bölüm","розділ","mục","版块","版面","","","","","","","","","","","","","","","","","noun","Specific to the Google News Publisher Center. A section is a subdirectory, subdomain, or index page of your news site where you post news articles. A section typically contains news articles that belong to the same category (e.g., “Business,” “Sports”) or topic (e.g., “US Elections”).",""
"للمزيد","Още материали","més cobertura","více o tomto tématu","yderligere dækning","ähnliche Artikel","περισσότερη κάλυψη","more coverage","more coverage","Más cobertura","rohkem artikleid","lisää aiheesta","à lire aussi","अधिक कवरेज","više članaka","további tudósítások","liputan selengkapnya","frekari umfjöllun","altre notizie","עוד כיסוי","関連記事","관련뉴스","didesnė apimtis","Plašāks izklāsts","കൂടുതല്‍ പരമ്പരകള്‍","meer berichten","flere artikler","więcej na ten temat","mais cobertura","notícias relacionadas","mai multe articole","другие материалы по теме","viac podrobností","več sorodnih novic","још извештавања","fler artiklar","மேலும் செய்திகள்","మరింత కవరేజి","ข่าวเพิ่มเติม","diğer haberler","інші матеріали по темі","bài viết khác","更多相关报道","更多相關報導","","","","","","","","","","","","","","","","","noun","The body of a link that, when clicked on, takes the user to a cluster of Google News articles which are related to article currently being viewed.",""
"زاويتي","Персонализирани новини","notícies personalitzades","Vlastní nastavení zpráv","Tilpassede nyheder","personalisierte Nachrichten","Εξατομικευμένες Ειδήσεις","personalized news","personalised news","Noticias personalizadas","isikupärastatud uudised","omat uutiset","Actualités personnalisées","निजीकृत समाचार","Personalizirane vijesti","személyre szabott hírek","berita hasil personalisasi","sérsniðnar fréttir","Notizie personalizzate","חדשות מותאמות אישית","カスタム版","맞춤뉴스","individualizuotos naujienos","Personalizētas ziņas","വ്യക്തിവല്‍ക്കരിച്ച വാര്‍ത്ത","aangepast nieuws","tilpassede nyheter","spersonalizowane wiadomości","notícias personalizadas","Notícias personalizadas","ştiri personalizate","персонализированная версия","prispôsobené správy","novice po meri","персонализоване вести","Anpassade nyheter","எனது பதிப்பு","వ్యక్తీకరించిన వార్తలు","ข่าวที่กำหนดเอง","kişiselleştirilmiş haberler","персоналізовані новини","tin tức được cá nhân hoá","个性化新闻","個人化新聞","","","","","","","","","","","","","","","","","noun","Feature. Personalized News enables the users to get news tailored specifically to their interests by creating new sections from favorite searches and mixing and matching existing standard sections from the regional and language editions of Google News.",""
"اختيارات المحررين","","","Tipy šéfredaktorů","Redaktørens udvalgte","Empfehlungen der Redaktion","Επιλογές εκδοτών","Editors’ Picks","Editors’ Picks","Destacado por los medios","","","Le choix des rédactions","संपादकों की पसंद","","A szerkesztők ajánlata","Pilihan Editor","","Scelte della redazione","בחירות העורכים","編集部のおすすめ","언론사 추천 뉴스","","","എഡിറ്റർമാരുടെ തിരഞ്ഞെടുക്കലുകൾ","Keuze van de redactie","Redaktøren anbefaler","Redakcje polecają","Sugestões dos editores","Escolhas dos Editores","Selecțiile editorilor","Выбор редакции","tipy redakcie","","Избори уредника","Redaktörens val","தொகுப்பாளரின் தேர்வுகள்","ఎడిటర్‌ల ఎంపికలు","เรื่องคัดสรรโดยบรรณาธิการ","Editörlerin Seçtikleri","Вибір редакції","Lựa chọn của ban biên tập","编辑精选","編輯首選","","","","","","","","","","","","","","","","","noun","A feature that allows news publishers to showcase original, innovative news content that they have on their site at any given time.",""
"رأي","","","názory","debatindhold","Meinungen","περιεχόμενο απόψεων","opinion content","opinion content","contenido de opinión","","","contenu d'opinion","राय सामग्री","","vélemény típusú tartalom","Konten opini","","editoriali","תוכן של הבעת דעה","意見コンテンツ","오피니언 콘텐츠","","","അഭിപ്രായ ഉള്ളടക്കം","opinie-inhoud","meningsytringer","opinie","conteúdo de opinião","conteúdo de opinião","conținut de opinie","мнение редакции","názor","","изношење мишљења","opinion","கருத்து உள்ளடக்கம்","అభిప్రాయ కంటెంట్","เนื้อหาความเห็น","görüş içeriği","незалежна думка","nội dung ý kiến","观点","讀者投書","","","","","","","","","","","","","","","","","noun","Label that is applied to a user's publication if they primarily publish opinion content.",""
"مصدر الأخبار","новинарски източник","font de les notícies","zpravodajský zdroj","nyhedskilde","Nachrichtenquelle","πήγη είδησης","news source","news source","fuente de noticias","uudiste allikas","uutislähde","source d'actualités","समाचार स्रोत","izvor vijesti","hírforrás","sumber berita","fréttaveita","fonte di notizie","מקור חדשותי","ニュース提供元","뉴스 매체","naujienų šaltinis","Ziņu avots","വാര്‍ത്താ ഉറവിടം","nieuwsbron","nyhetskilde","źródło wiadomości","fonte de notícias","fonte noticiosa (pl. fontes noticiosas)","sursă de ştiri","источник новостей","zdroj správ","vir novic","извор вести","nyhetskälla","செய்தி மூலம்","వార్తల మూలం","แหล่งข่าว","haber kaynağı","джерело новин","nguồn tin tức","新闻媒体","新聞來源","","","","","","","","","","","","","","","","","noun","A news publication that gives information, from which articles are aggregated into Google News.",""
