"""ar""","""bg""","""ca""","""cs""","""da""","""de""","""el""","""en""","""en-GB""","""es""","""et""","""fi""","""fr""","""hi""","""hr""","""hu""","""id""","""is""","""it""","""iw""","""ja""","""ko""","""lt""","""lv""","""ml""","""nl""","""no""","""pl""","""pt-BR""","""pt-PT""","""ro""","""ru""","""sk""","""sl""","""sr""","""sv""","""ta""","""te""","""th""","""tr""","""uk""","""vi""","""zh-CN""","""zh-TW""","""bn""","""cy""","""es-419""","""fa""","""gu""","""hy""","""ka""","""kn""","""lo""","""mr""","""ne""","""ur""","""fr-CA""","""ms""","""es-MX""","""fil""","""pos""","""description""","""notes"""
"أهم الأخبار","Водещи теми","Notícies de portada","Hlavní události","Tophistorier","Schlagzeilen","Κυριότερες ειδήσεις","Top Stories","Top Stories","Noticias destacadas","Tipplood","pääuutiset","À la une","शीर्ष कहानियाँ","Najaktualnije vijesti","Vezető hírek","berita utama","Helstu fréttir","Prima pagina","בראש החדשות","トップニュース","주요뉴스","Geriausios istorijos","Populārākie raksti","പ്രധാന വാര്‍ത്തകള്‍","Belangrijke artikelen","Hovedoppslag","najważniejsze artykuły","Notícias principais","Notícias principais","Cele mai populare subiecte","Главные новости","Hlavné správy","aktualno","Најважније вести","Huvudnyheter","முக்கய செய்திகள்","ముఖ్య కధనాలు","เรื่องเด่น","En Çok Okunan Haberler","Головні новини","Tin bài Hàng đầu","焦点新闻","焦點新聞","","","","","","","","","","","","","","","","","noun","Section. The Top Stories section takes into account the prevalence of certain stories throughout all sites. Shown in the left navigation bar of news search results",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Google Newyddion","","","","","","","","","","","","","","","noun","Comprehensive, up-to-date news coverage, aggregated from sources all over the world by Google News. See: https://news.google.com/",""
"خبر وصورة","Версия с изображения","versió d'imatge","verze s fotografiemi","Billedversion","Bildversion","Έκδοση εικόνας","image version","image version","Versión de imagen","pildiversioon","kuvaversio","Version image","छवि संस्करण","Slikovna verzija","képes változat","versi gambar","myndaútgáfa","versione immagini","גרסת תמונה","画像モード","이미지 버전","vaizdo versija","Attēlu versija","ഇമേജ് പതിപ്പ്","versie met afbeeldingen","bildeversjon","wersja graficzna","versão de imagem","versão em imagens","versiunea în imagini","фотоверсия","obrázková verzia","slikovna različica","фото-верзија","Bildversion","படப்பதிப்பு","చిత్రపు వెర్షన్","ฉบับรูปภาพ","resimli sürüm","Графічна версія","phiên bản hình ảnh","图片集锦","圖片版本","","","","","","","","","","","","","","","","","noun","The Image Version of News lets you view and explore the top headlines of the day through photos instead of just text. Clicking on an image will take users directly to the article the image came from.",""
"الأخبار بالصور","представени изображения","imatges destacades","vybrané fotografie","fremhævede billeder","Bilder des Moments","εικόνες","featured images","featured images","imágenes destacadas","esiletõstetud pildid","päivän kuvat","actualité en images","फ़ीचर्ड छवियां","istaknute slike","kiemelt képek","foto unggulan","sérvaldar myndir","immagini in primo piano","תמונות פופולריות","今日の画像","추천 이미지","žiūrimiausi vaizdai","Īpaši attēli","വന്നിട്ടുള്ള ഇമേജുകള്‍","aanbevolen afbeeldingen","aktuelle bilder","polecane zdjęcia","imagens em destaque","imagens em destaque","imagini prezentate","фото дня","hlavné obrázky","predstavljene slike","истакнуте слике","Aktuella bilder","வெளியிடப்பட்ட படங்கள்","ప్రచురించిన చిత్రాలు","รูปเด่น","sunulan resimler","популярні зображення","hình ảnh nổi bật","图片聚焦","精選圖集","","","","","","","","","","","","","","","","","noun","Category: A cluster of images featured shown in the right navigation bar of news sections on new UI homepage, e.g.: http://news.corp.google.com/news?pz=1&amp;ned=us&amp;topic=s",""
"أعمال","Бизнес","Economia","Ekonomika","Erhverv","Wirtschaft","Οικονομία","Business","Business","Economía","Äri","talous","Économie","व्यवसाय","Posao","üzleti élet","bisnis","Viðskipti","Economia","עסקים","ビジネス","경제","Verslas","Uzņēmējdarbība","ബിസിനസ്സ്","Economie","Næringsliv","Gospodarka","Negócios","Economia","Afaceri","Бизнес","Obchod","gospodarstvo","Бизнис","Ekonomi","வணிகம்","వ్యాపారం","ธุรกิจ","İş","Бізнес","Kinh doanh","财经","財經","","","","","","","","","","","","","","","","","noun","Section: Shown in the left navigation bar of news search results. One of the 9 standard sections in Google News.",""
"بحث الأرشيف من Google","","Google Archive Search","Google Archive Search","Google Archive Search","Google Archivsuche","Αναζήτηση σε αρχεία Google","Google Archive Search","Google Archive Search","Búsqueda en el archivo de Google","Google Archive Search","Google-arkistohaku","Google Recherche d'archives","Google Archive Search","Google pretraživanje arhive","Google Archive Search","Google Penelusuran Arsip","Google Achive Search","Google Ricerca Archivi","Google Archive Search","","","„Google“ archyvo paieška","Google Archive Search","Google Archive Search","Google Archive Search","","","","Pesquisa no arquivo do Google","Google Archive Search","Поиск в архиве Google","Vyhľadávanie v archíve Google","Google Archive Search","Google претрага архива","","Google Archive Search","Google Archive Search","Google Archive Search","Google Arşiv Araması","","","Google Archive Search","Google Archive Search","Google Archive Search","","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","गुगल संग्रह खोज","Google Archive Search","","","","","noun","Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"الأخبار بالصور","представени изображения","imatges destacades","vybrané fotografie","fremhævede billeder","Bilder des Moments","εικόνες","featured images","featured images","imágenes destacadas","esiletõstetud pildid","päivän kuvat","actualité en images","फ़ीचर्ड छवियां","istaknute slike","kiemelt képek","foto unggulan","sérvaldar myndir","immagini in primo piano","תמונות פופולריות","今日の画像","추천 이미지","žiūrimiausi vaizdai","Īpaši attēli","വന്നിട്ടുള്ള ഇമേജുകള്‍","aanbevolen afbeeldingen","aktuelle bilder","polecane zdjęcia","imagens em destaque","imagens em destaque","imagini prezentate","фото дня","hlavné obrázky","predstavljene slike","истакнуте слике","Aktuella bilder","வெளியிடப்பட்ட படங்கள்","ప్రచురించిన చిత్రాలు","รูปเด่น","sunulan resimler","популярні зображення","hình ảnh nổi bật","图片聚焦","精選圖集","","","","","","","","","","","","","","","","","noun","Category: A cluster of images featured shown in the right navigation bar of news sections on new UI homepage, e.g.: http://news.corp.google.com/news?pz=1&amp;ned=us&amp;topic=s",""
"بحث الأرشيف","","Google Archive Search","","Archive Search","Google Archivsuche","Αναζήτηση σε αρχεία","Archive Search","Archive Search","Búsqueda en el archivo de Google","Archive Search","Arkistohaku","Google Recherche d'archives","Archive Search","Google pretraživanje arhive","Google Archive Search","Penelusuran Arsip","Archive Search","Ricerca archivi","Google Archive Search","アーカイブ検索","자료실 검색","","","Archive Search","Google News Archive Search","","Wyszukiwanie w archiwum","Pesquisa de Arquivo Google","Pesquisa no arquivo","Google Archive Search","Поиск в архиве","Vyhľadávanie v archíve","Google Archive Search","Google претрага архиве","","Archive Search","Archive Search","Archive Search","Arşiv Araması","","","Google Archive Search","Google Archive Search","Archive Search","Chwilio Archif","Archive Search","جستجوی اسناد","Archive Search","Archive Search","Archive Search","Archive Search","Archive Search","Archive Search","संग्रह खोज","Archive Search","Archive Search","Carian Arkib","","","noun","Short form of Google News Archive Search. Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"الأخبار المحلية","Местни новини","Notícies locals","Místní zprávy","lokale nyheder","Lokalnachrichten","Τοπικές ειδήσεις","Local News","Local News","Noticias locales","Kohalikud uudised","paikalliset","Actualités locales","स्थानीय समाचार","Lokalne vijesti","Helyi hírek","warta lokal","Staðbundnar fréttir","Notizie locali","חדשות מקומיות","ローカル ニュース","지역 뉴스","Vietos naujienos","Vietējās ziņas","പ്രാദേശിക വാര്‍ത്ത","Lokaal nieuws","lokale nyheter","wiadomości lokalne","notícias locais","Notícias locais","Ştiri locale","местные новости","Miestne správy","lokalne novice","Локалне вести","Lokala nyheter","உள்ளூர் செய்திகள்","స్థానిక సమాచారం","ข่าวท้องถิ่น","Yerel Haberler","Місцеві новини","Tin tức Địa phương","地方新闻","地方新聞","","","","","","","","","","","","","","","","","noun","Category: Local News. Local news sections that let the user keep track of current events in their area. The top stories for a given area will be at the top of the search results.",""
"المصدر","","","zdroj","kilde","Quelle","πηγή","source","source","fuente","","","source","स्रोत","","forrás","sumber","","fonte","מקור","提供元","매체","","","ഉറവിടം","bron","kilde","źródło","fonte","fonte","sursă","источник","zdroj","","извор","källa","மூலம்","మూలాధారం","แหล่งที่มา","kaynak","джерело","nguồn","来源","來源","","","","","","","","","","","","","","","","","noun","Specific to the Google News Publisher Center. A source is a news site (e.g., a blog, news publication, or online magazine).",""
"زاوية محلية","местна секция","secció local","místní sekce","lokalt afsnit","Lokalabschnitt","τοπική ενότητα","local section","local section","sección local","kohalik jaotis","paikalliset-osasto","rubrique locale","स्थानीय अनुभाग","lokalni odjeljak","helyi panel","rubrik lokal","héraðshluti","sezione locale","מדור מקומי","地域セクション","지역 섹션","vietos skiltis","Vietējā sadaļa","പ്രാദേശിക വിഭാഗം","lokaal gedeelte","lokalrubrikk","sekcja lokalna","seção local","secção local","secţiune locală","раздел местных новостей","miestna sekcia","novice iz regije","локални одељак","lokalt avsnitt","உள்ளூர் பகுதி","స్థానిక విభాగం","หมวดท้องถิ่น","yerel bölüm","розділ місцевих новин","mục địa phương","地方栏目","地方新聞版面","","","","","","","","","","","","","","","","","noun","A section you can add on a personalized page based on a zipcode/city you select. &lt;p>URL showing this message: &lt;a href=http://news.google.com/ >http://news.google.com/ &lt;/a>Label on an edit box for personalized page",""
"زاويتي","Персонализирани новини","notícies personalitzades","Vlastní nastavení zpráv","Tilpassede nyheder","personalisierte Nachrichten","Εξατομικευμένες Ειδήσεις","personalized news","personalised news","Noticias personalizadas","isikupärastatud uudised","omat uutiset","Actualités personnalisées","निजीकृत समाचार","Personalizirane vijesti","személyre szabott hírek","berita hasil personalisasi","sérsniðnar fréttir","Notizie personalizzate","חדשות מותאמות אישית","カスタム版","맞춤뉴스","individualizuotos naujienos","Personalizētas ziņas","വ്യക്തിവല്‍ക്കരിച്ച വാര്‍ത്ത","aangepast nieuws","tilpassede nyheter","spersonalizowane wiadomości","notícias personalizadas","Notícias personalizadas","ştiri personalizate","персонализированная версия","prispôsobené správy","novice po meri","персонализоване вести","Anpassade nyheter","எனது பதிப்பு","వ్యక్తీకరించిన వార్తలు","ข่าวที่กำหนดเอง","kişiselleştirilmiş haberler","персоналізовані новини","tin tức được cá nhân hoá","个性化新闻","個人化新聞","","","","","","","","","","","","","","","","","noun","Feature. Personalized News enables the users to get news tailored specifically to their interests by creating new sections from favorite searches and mixing and matching existing standard sections from the regional and language editions of Google News.",""
"المالك","","","vlastník","ejer","Inhaber","κάτοχος","owner","owner","","","","propriétaire","स्वामी","","tulajdonos","pemilik","","proprietario","בעלים","オーナー","소유자","","","ഉടമ","eigenaar eigenaar (plural: eigenaren)","eier","właściciel","proprietário","proprietário","proprietar","владелец","vlastník","","власник","ägare","உரிமையாளர்","యజమాని","เจ้าของ","sahip","власник","chủ sở hữu","所有者","擁有者","","","","","","","","","","","","","","","","","noun","An owner of a news website (can be either a publishing house or web publisher in News).",""
"صحة","Здраве","Salut","Zdraví","Sundhed","Gesundheit","Υγεία","Health","Health","Salud","Tervis","terveys","Santé","स्वास्थ्य","Zdravlje","Egészségügy","Kesehatan","Heilsa","Salute","בריאות","健康","건강","Sveikata","Veselība","ആരോഗ്യം","Gezondheid","Helse","Zdrowie","Saúde","Saúde","Sănătate","Здоровье","Zdravie","zdravje","Здравље","Hälsa","ஆரோக்யம்","ఆరోగ్యం","สุขภาพ","Sağlık","Здоров’я","Sức khoẻ","健康","健康","","","","","","","","","","","","","","","","","noun","Section: One of the 9 standard sections in Google News",""
"من أخبار اليوم","теми в развитие","notícies amb cobertura creixent","Také by vás mohlo zajímat...","artikler under udvikling","aufkommende Themen","τρέχοντα γεγονότα","developing stories","developing stories","Noticias con cobertura creciente","arenevad lood","nousussa","à voir aussi","कहानियों का विकास","priče na pomolu","aktuális hírek","berita hangat","","notizie in sviluppo","סיפורים מתפתחים","新着ニュース","최신뉴스","populiarėjančios istorijos","Rītdienas ziņas","വാര്‍ത്തകള്‍ വികസിപ്പിക്കല്‍","artikelen in ontwikkeling","artikler under utvikling","tematy zyskujące popularność","últimas notícias","últimas notícias","subiecte de amploare crescândă","набирающие популярность","vyvíjajúce sa správy","preberite tudi","вести растуће важности","Aktuella artiklar","செய்திகள் உருவாக்குதல்","అభివృద్ది అవుతున్న కధనాలు","ข่าวน่าจับตา","gelişmeye devam eden haberler","що набирають популярність","tin bài đang được quan tâm","追踪报道","追蹤報導","","","","","","","","","","","","","","","","","noun","Stories that probably won't have as much coverage as the top stories for a given day, but are becoming more important.",""
"نظام حظر الإشتراك غير المدفوع","","","placený obsah","betalingsvæg","(die) Paywall","τείχος πληρωμής","paywall","paywall","paywall","","","paywall","paywall","","fizetőfal","paywall","","paywall","חומת תשלום","ペイウォール","페이월","","","പേവാൾ","betaalmuur","betalingsmur","paywall","paywall","paywall","sistem paywall","платный доступ","platená zóna","","пејвол","betalvägg","கட்டணத் திரை","పేవాల్","เพย์วอลล์","ödeme duvarı","плата за перегляд","tường phí","付费墙","付費牆","","","","","","","","","","","","","","","","","noun","A paywall is a system that prevents Internet users from accessing webpage content without a paid subscription.",""
"العنوان الرئيسي","водещо заглавие","titular","titulek","Overskrift","Schlagzeile","Τίτλος","headline","headline","Titular","pealkiri","otsikko","titre","मुख्य समाचार","Naslov","főcím","kepala berita","fyrirsögn","titolo","כותרת","見出し","헤드라인","antraštė","Virsraksts","തലക്കെട്ട്","kop","overskrift","nagłówek","manchete","Título","titlu","заголовок","titulok","naslov","наслов","Rubrik","தலைப்பு","ముఖ్య శీర్షిక","พาดหัว","başlık","Заголовок","tiêu đề","资讯标题","標題","","","","","","","","","","","","","","","","","noun","A heading or a title of an article. A head of a newspaper story or article usually printed in large type and giving the gist of the story or article that follows. Article headlines are hyperlinked on the Google News front page.",""
"الملكية","","","vlastnictví","ejerskab","Inhaberschaft","ιδιοκτησία","ownership","ownership","","","","propriété","स्वामित्व","","tulajdonjog","kepemilikan","","proprietà","בעלות","オーナー","소유권","","","ഉടമസ്ഥാവകാശം","eigendom","eierskap","własność","propriedade","propriedade","drept de proprietate","право собственности","vlastníctvo","","власништво","ägarskap","உரிமை","యాజమాన్యం","ผู้เป็นเจ้าของ","sahiplik","право власності","quyền sở hữu","所有权","擁有權","","","","","","","","","","","","","","","","","noun","In News, this refers to who owns a news source/website (it can be a publishing house or web publisher).",""
"رياضة","Спорт","Esports","Sport","Sport","Sport","Αθλητικά","Sports","Sports","Deportes","Sport","urheilu","Sports","खेलकूद","Sport","Sport","olahraga","Íþróttir","Sport","ספורט","スポーツ","스포츠","Sportas","Sports","കായികം","Sport","Sport","Sport","Esportes","Desporto","Sport","Спорт","Šport","šport","Спорт","Sport","விளையாட்டு","క్రీడలు","กีฬา","Spor","Спорт","Thể thao","体育","體育","","","","","","","","","","","","","","","","","noun","Section: Shown in the left navigation bar of news search results. One of the 9 standard sections in Google News. Link to a page containing Sports section: http://www.google.com/news?topic=s",""
"العنوان الرئيسي","водещо заглавие","titular","titulek","Overskrift","Schlagzeile","Τίτλος","headline","headline","Titular","pealkiri","otsikko","titre","मुख्य समाचार","Naslov","főcím","kepala berita","fyrirsögn","titolo","כותרת","見出し","헤드라인","antraštė","Virsraksts","തലക്കെട്ട്","kop","overskrift","nagłówek","manchete","Título","titlu","заголовок","titulok","naslov","наслов","Rubrik","தலைப்பு","ముఖ్య శీర్షిక","พาดหัว","başlık","Заголовок","tiêu đề","资讯标题","標題","","","","","","","","","","","","","","","","","noun","A heading or a title of an article. A head of a newspaper story or article usually printed in large type and giving the gist of the story or article that follows. Article headlines are hyperlinked on the Google News front page.",""
"تغطية شاملة","Пълно покритие","article complet","vše o tomto tématu","Fuld dækning","ganzer Artikel","Πλήρης κάλυψη","full coverage","full coverage","Cobertura total de la noticia","kõik artiklid","muut artikkelit aiheesta","toute l'actualité sur ce thème","संपूर्ण कवरेज","Potpuni sadržaj","minden kapcsolódó tudósítás","liputan lengkap","ítarleg umfjöllun","copertura completa","כיסוי תקשורתי מלא","すべての記事","전체기사","apima viską","Izvērsts izklāsts","പൂര്‍ണ്ണമായ പരമ്പര","volledig bericht","full dekning","wszystkie artykuły","cobertura completa","Cobertura completa","acoperire completă","полный обзор","úplné spravodajstvo","ostale novice","сва извештавања","Full täckning","முழு செய்திகள்","పూర్తి కవరేజి","บทความทั้งหมด","ilgili tüm haberler","повний огляд","toàn bộ bài viết có liên quan","专题报道","完整報導","","","","","","","","","","","","","","","","","noun","The body of a link that, when clicked on, takes the user to a full coverage of a news story",""
"زاوية خاصة","персонализирана секция","secció personalitzada","vlastní sekce","tilpasset afsnit","benutzerdefinierter Bereich","προσαρμοσμένη ενότητα","custom section","custom section","sección personalizada","kohandatud jaotis","oma osasto","rubrique personnalisée","कस्टम अनुभाग","prilagođeni odjeljak","egyéni panel","rubrik khusus","sérsniðinn hluti","sezione personalizzata","מדור מותאם אישית","カスタム セクション","맞춤뉴스 섹션","tinkinta skiltis","Pielāgota sadaļa","ഇഷ്ടമുള്ള വിഭാഗം","aangepast gedeelte","tilpasset rubrikk","własna sekcja [preferred]","seção personalizada","secção personalizada","secţiune personalizată","свой раздел","vlastná sekcia","razdelek po meri","прилагођени одељак","anpassat avsnitt","விருப்ப பகுதி","వ్యక్తీకరించిన విభాగం","หมวดที่กำหนดเอง","özel bölüm","власний розділ","mục tuỳ chỉnh","自定义栏目","自訂版面","","","","","","","","","","","","","","","","","noun","A section you can add on a personalized page, based on keyword/s you select. &lt;p>URL showing this message: &lt;a href=http://news.google.com/ >http://news.google.com/ &lt;/a>Label on an edit box for personalized page",""
"منوعات","Шоубизнес","Entreteniment","Kultura","Underholdning","Unterhaltung","Διασκέδαση","Entertainment","Entertainment","Espectáculos","Meelelahutus","viihde","Divertissement","मनोरंजन","Zabava","szórakozás","hiburan","Afþreying","Spettacoli","תרבות ובידור","エンタメ","연예","Pramogos","Izklaide","വിനോദം","Entertainment","Underholdning","Rozrywka","Entretenimento","Cultura","Divertisment","Культура","Zábava","zabava","Забава","Kultur & nöje","பொழுதுபோக்கு","వినోదం","บันเทิง","Eğlence","Розваги","Giải trí","娱乐","娛樂","","","","","","","","","","","","","","","","","noun","Section: One of the 9 standard sections in Google News. Link to a page containing entertainment information: http://www.google.com/news?topic=e",""
"تنبيهات الأخبار","Новинарски сигнали","Google News Alerts","","Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις ειδήσεων","News Alerts","Google News Alerts","Alertas de Noticias","News Alerts","","Alertes Google Actualités","समाचार सूचनाएं","Google News Alerts","Hírértesítő","Google News Alerts","Google Fréttamiðlun","News Alert","התראות של חדשות Google","","뉴스 알리미","News Alerts","Google News Alerts","News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","News Alerts","News Alerts","แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","News Alerts","Rhybuddion Newyddion","Alertas de Google Noticias","Google News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","News Alerts","समाचार चेतावनीहरु","News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","News Alerts is the short form of Google News Alerts. Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
"الناشر","","","vydavatel","udgiver","Verlag und Webpublisher (both required for DE)","εκδότης","publisher","publisher","","","","éditeur","प्रकाशक","","kiadó","penerbit","","editore","מוציא לאור","ニュース メディア","게시자","","","പ്രസാധകൻ","uitgever","utgiver","wydawca","editor","publicador","editor","издатель","vydavateľ","","издавач","utgivare","வெளியிடுபவர்","ప్రచురణకర్త","ผู้จัดพิมพ์","yayıncı","видавець","nhà xuất bản","出版商（when refer to a single person, pls use 发布者）","發佈者","","","","","","","","","","","","","","","","","noun","In News, this can be either the publishing house or the web publisher who owns a news source/website.",""
"التصنيف","","","štítek","etiket","Label","ετικέτα","label","label","etiqueta","","","libellé","लेबल","","címke","label","","etichetta","תווית","ラベル","라벨","","","ലേബൽ","label","etikett","etykieta","rótulo","etiqueta","etichetă","ярлык","štítok","","ознака","etikett","லேபிள்","లేబుల్","ป้ายกำกับ","etiket","мітка","nhãn","标签","標籤","","","","","","","","","","","","","","","","","noun","Labels are a pre-defined group of terms that are generally understood by users to characterize different types of news categories. These labels help Google News classify the content of your section or source.",""
