"""ar""","""bg""","""ca""","""cs""","""da""","""de""","""el""","""en""","""en-GB""","""es""","""et""","""fi""","""fr""","""hi""","""hr""","""hu""","""id""","""is""","""it""","""iw""","""ja""","""ko""","""lt""","""lv""","""ml""","""nl""","""no""","""pl""","""pt-BR""","""pt-PT""","""ro""","""ru""","""sk""","""sl""","""sr""","""sv""","""ta""","""te""","""th""","""tr""","""uk""","""vi""","""zh-CN""","""zh-TW""","""bn""","""cy""","""es-419""","""fa""","""gu""","""hy""","""ka""","""kn""","""lo""","""mr""","""ne""","""ur""","""fr-CA""","""ms""","""es-MX""","""fil""","""pos""","""description""","""notes"""
"صحة","Здраве","Salut","Zdraví","Sundhed","Gesundheit","Υγεία","Health","Health","Salud","Tervis","terveys","Santé","स्वास्थ्य","Zdravlje","Egészségügy","Kesehatan","Heilsa","Salute","בריאות","健康","건강","Sveikata","Veselība","ആരോഗ്യം","Gezondheid","Helse","Zdrowie","Saúde","Saúde","Sănătate","Здоровье","Zdravie","zdravje","Здравље","Hälsa","ஆரோக்யம்","ఆరోగ్యం","สุขภาพ","Sağlık","Здоров’я","Sức khoẻ","健康","健康","","","","","","","","","","","","","","","","","noun","Section: One of the 9 standard sections in Google News",""
"رياضة","Спорт","Esports","Sport","Sport","Sport","Αθλητικά","Sports","Sports","Deportes","Sport","urheilu","Sports","खेलकूद","Sport","Sport","olahraga","Íþróttir","Sport","ספורט","スポーツ","스포츠","Sportas","Sports","കായികം","Sport","Sport","Sport","Esportes","Desporto","Sport","Спорт","Šport","šport","Спорт","Sport","விளையாட்டு","క్రీడలు","กีฬา","Spor","Спорт","Thể thao","体育","體育","","","","","","","","","","","","","","","","","noun","Section: Shown in the left navigation bar of news search results. One of the 9 standard sections in Google News. Link to a page containing Sports section: http://www.google.com/news?topic=s",""
"الأخبار المحلية","Местни новини","Notícies locals","Místní zprávy","lokale nyheder","Lokalnachrichten","Τοπικές ειδήσεις","Local News","Local News","Noticias locales","Kohalikud uudised","paikalliset","Actualités locales","स्थानीय समाचार","Lokalne vijesti","Helyi hírek","warta lokal","Staðbundnar fréttir","Notizie locali","חדשות מקומיות","ローカル ニュース","지역 뉴스","Vietos naujienos","Vietējās ziņas","പ്രാദേശിക വാര്‍ത്ത","Lokaal nieuws","lokale nyheter","wiadomości lokalne","notícias locais","Notícias locais","Ştiri locale","местные новости","Miestne správy","lokalne novice","Локалне вести","Lokala nyheter","உள்ளூர் செய்திகள்","స్థానిక సమాచారం","ข่าวท้องถิ่น","Yerel Haberler","Місцеві новини","Tin tức Địa phương","地方新闻","地方新聞","","","","","","","","","","","","","","","","","noun","Category: Local News. Local news sections that let the user keep track of current events in their area. The top stories for a given area will be at the top of the search results.",""
"زاوية خاصة","персонализирана секция","secció personalitzada","vlastní sekce","tilpasset afsnit","benutzerdefinierter Bereich","προσαρμοσμένη ενότητα","custom section","custom section","sección personalizada","kohandatud jaotis","oma osasto","rubrique personnalisée","कस्टम अनुभाग","prilagođeni odjeljak","egyéni panel","rubrik khusus","sérsniðinn hluti","sezione personalizzata","מדור מותאם אישית","カスタム セクション","맞춤뉴스 섹션","tinkinta skiltis","Pielāgota sadaļa","ഇഷ്ടമുള്ള വിഭാഗം","aangepast gedeelte","tilpasset rubrikk","własna sekcja [preferred]","seção personalizada","secção personalizada","secţiune personalizată","свой раздел","vlastná sekcia","razdelek po meri","прилагођени одељак","anpassat avsnitt","விருப்ப பகுதி","వ్యక్తీకరించిన విభాగం","หมวดที่กำหนดเอง","özel bölüm","власний розділ","mục tuỳ chỉnh","自定义栏目","自訂版面","","","","","","","","","","","","","","","","","noun","A section you can add on a personalized page, based on keyword/s you select. &lt;p>URL showing this message: &lt;a href=http://news.google.com/ >http://news.google.com/ &lt;/a>Label on an edit box for personalized page",""
"للمزيد","Още материали","més cobertura","více o tomto tématu","yderligere dækning","ähnliche Artikel","περισσότερη κάλυψη","more coverage","more coverage","Más cobertura","rohkem artikleid","lisää aiheesta","à lire aussi","अधिक कवरेज","više članaka","további tudósítások","liputan selengkapnya","frekari umfjöllun","altre notizie","עוד כיסוי","関連記事","관련뉴스","didesnė apimtis","Plašāks izklāsts","കൂടുതല്‍ പരമ്പരകള്‍","meer berichten","flere artikler","więcej na ten temat","mais cobertura","notícias relacionadas","mai multe articole","другие материалы по теме","viac podrobností","več sorodnih novic","још извештавања","fler artiklar","மேலும் செய்திகள்","మరింత కవరేజి","ข่าวเพิ่มเติม","diğer haberler","інші матеріали по темі","bài viết khác","更多相关报道","更多相關報導","","","","","","","","","","","","","","","","","noun","The body of a link that, when clicked on, takes the user to a cluster of Google News articles which are related to article currently being viewed.",""
"بحث الأرشيف من Google","","Google Archive Search","Google Archive Search","Google Archive Search","Google Archivsuche","Αναζήτηση σε αρχεία Google","Google Archive Search","Google Archive Search","Búsqueda en el archivo de Google","Google Archive Search","Google-arkistohaku","Google Recherche d'archives","Google Archive Search","Google pretraživanje arhive","Google Archive Search","Google Penelusuran Arsip","Google Achive Search","Google Ricerca Archivi","Google Archive Search","","","„Google“ archyvo paieška","Google Archive Search","Google Archive Search","Google Archive Search","","","","Pesquisa no arquivo do Google","Google Archive Search","Поиск в архиве Google","Vyhľadávanie v archíve Google","Google Archive Search","Google претрага архива","","Google Archive Search","Google Archive Search","Google Archive Search","Google Arşiv Araması","","","Google Archive Search","Google Archive Search","Google Archive Search","","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","Google Archive Search","गुगल संग्रह खोज","Google Archive Search","","","","","noun","Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"المصدر","","","zdroj","kilde","Quelle","πηγή","source","source","fuente","","","source","स्रोत","","forrás","sumber","","fonte","מקור","提供元","매체","","","ഉറവിടം","bron","kilde","źródło","fonte","fonte","sursă","источник","zdroj","","извор","källa","மூலம்","మూలాధారం","แหล่งที่มา","kaynak","джерело","nguồn","来源","來源","","","","","","","","","","","","","","","","","noun","Specific to the Google News Publisher Center. A source is a news site (e.g., a blog, news publication, or online magazine).",""
"تنبيهات الأخبار من Google","Google Новинарски сигнали","Google News Alerts","Google News Alerts","Google Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις Ειδήσεων Google","Google News Alerts","Google News Alerts","Alertas de Google Noticias","Google News Alerts","","Alertes Google Actualités","Google समाचार अलर्ट","Google News Alerts","Google Hírértesítő","Google News Alerts","Google News Alerts","Google News Alert","התראות של חדשות Google","","","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","Google News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","Google News Alerts","Google News Alerts","Google แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","Google News Alerts","Rhybuddion Newyddion Google","Alertas de Google Noticias","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","गुगल समाचार सतर्कहरू","Google News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Google Newyddion","","","","","","","","","","","","","","","noun","Comprehensive, up-to-date news coverage, aggregated from sources all over the world by Google News. See: https://news.google.com/",""
"اختيارات المحررين","","","Tipy šéfredaktorů","Redaktørens udvalgte","Empfehlungen der Redaktion","Επιλογές εκδοτών","Editors’ Picks","Editors’ Picks","Destacado por los medios","","","Le choix des rédactions","संपादकों की पसंद","","A szerkesztők ajánlata","Pilihan Editor","","Scelte della redazione","בחירות העורכים","編集部のおすすめ","언론사 추천 뉴스","","","എഡിറ്റർമാരുടെ തിരഞ്ഞെടുക്കലുകൾ","Keuze van de redactie","Redaktøren anbefaler","Redakcje polecają","Sugestões dos editores","Escolhas dos Editores","Selecțiile editorilor","Выбор редакции","tipy redakcie","","Избори уредника","Redaktörens val","தொகுப்பாளரின் தேர்வுகள்","ఎడిటర్‌ల ఎంపికలు","เรื่องคัดสรรโดยบรรณาธิการ","Editörlerin Seçtikleri","Вибір редакції","Lựa chọn của ban biên tập","编辑精选","編輯首選","","","","","","","","","","","","","","","","","noun","A feature that allows news publishers to showcase original, innovative news content that they have on their site at any given time.",""
"تنبيهات الأخبار من Google","Google Новинарски сигнали","Google News Alerts","Google News Alerts","Google Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις Ειδήσεων Google","Google News Alerts","Google News Alerts","Alertas de Google Noticias","Google News Alerts","","Alertes Google Actualités","Google समाचार अलर्ट","Google News Alerts","Google Hírértesítő","Google News Alerts","Google News Alerts","Google News Alert","התראות של חדשות Google","","","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","Google News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","Google News Alerts","Google News Alerts","Google แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","Google News Alerts","Rhybuddion Newyddion Google","Alertas de Google Noticias","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","गुगल समाचार सतर्कहरू","Google News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
"العالم","По света","Internacional","Svět","Verden","International","Κόσμος","World","World","Internacional","Maailm","ulkomaat","International","विश्व","Svijet","Nemzetközi","dunia","Heimur","Esteri","עולם","国際","국제","Pasaulis","Pasaule","ലോകം","Buitenland","Utenriks","Świat","Internacional","Internacional","Internaţional","В мире","Zo sveta","svet","Свет","Världen","உலகம்","ప్రపంచం","ข่าวทั่วโลก","Dünya","Світ","Thế giới","国际","國際","","","","","","","","","","","","","","","","","noun","Section. Shown in the left navigation bar of news search results &lt;p>URL showing this message:  &lt;a href=http://news.google.com/news?hl=en&amp;q=news target=example>http://news.google.com/news?hl=en&amp;q=news&lt;/a>",""
"العالم","По света","Internacional","Svět","Verden","International","Κόσμος","World","World","Internacional","Maailm","ulkomaat","International","विश्व","Svijet","Nemzetközi","dunia","Heimur","Esteri","עולם","国際","국제","Pasaulis","Pasaule","ലോകം","Buitenland","Utenriks","Świat","Internacional","Internacional","Internaţional","В мире","Zo sveta","svet","Свет","Världen","உலகம்","ప్రపంచం","ข่าวทั่วโลก","Dünya","Світ","Thế giới","国际","國際","","","","","","","","","","","","","","","","","noun","Section. Shown in the left navigation bar of news search results &lt;p>URL showing this message:  &lt;a href=http://news.google.com/news?hl=en&amp;q=news target=example>http://news.google.com/news?hl=en&amp;q=news&lt;/a>",""
"أهم الأخبار","Водещи теми","Notícies de portada","Hlavní události","Tophistorier","Schlagzeilen","Κυριότερες ειδήσεις","Top Stories","Top Stories","Noticias destacadas","Tipplood","pääuutiset","À la une","शीर्ष कहानियाँ","Najaktualnije vijesti","Vezető hírek","berita utama","Helstu fréttir","Prima pagina","בראש החדשות","トップニュース","주요뉴스","Geriausios istorijos","Populārākie raksti","പ്രധാന വാര്‍ത്തകള്‍","Belangrijke artikelen","Hovedoppslag","najważniejsze artykuły","Notícias principais","Notícias principais","Cele mai populare subiecte","Главные новости","Hlavné správy","aktualno","Најважније вести","Huvudnyheter","முக்கய செய்திகள்","ముఖ్య కధనాలు","เรื่องเด่น","En Çok Okunan Haberler","Головні новини","Tin bài Hàng đầu","焦点新闻","焦點新聞","","","","","","","","","","","","","","","","","noun","Section. The Top Stories section takes into account the prevalence of certain stories throughout all sites. Shown in the left navigation bar of news search results",""
"علوم وتكنولوجيا","Наука и технологии","ciència/tecnologia","Věda a technika","Videnskab/teknologi","Wissen/Technik","Επιστήμη και Τεχνολογία","Sci/Tech","Sci/Tech","Ciencia/Tecnología","Teadus/tehnoloogia","tiede/tekniikka","Science/Tech","विज्ञान/तकनीक","Znanost/tehnika","Tudomány/technológia","sains/teknologi","Tækni og vísindi","Scienze e tecnologie","מדע/טכנולוגיה","テクノロジー","과학기술","Moksl./techn.","Zinātne/tehnoloģijas","ശാസ്ത്രം/സാങ്കേതികം","Wetenschap/Techniek","Vitenskap og teknologi","Nauka/technika","Ciência/Tecnologia","Ciência e tecnologia","Ştiinţă/Tehnologie","Наука и техника","Veda a technika","znanost in tehnologija","Наука и техника","Vetenskap/teknik","அறிவியல்/தொழில்நுட்பம்","శాస్త్ర/సాంకేతిక","วิทย์/เทคโนฯ","Bilim/Teknoloji","Наука і техніка","Khoa học/Công nghệ","科技","科技","","","","","","","","","","","","","","","","","noun","Section. Shown in the left navigation bar of news search results &lt;p>URL showing this message:  &lt;a href=http://news.google.com/news?hl=en&amp;q=news target=example>http://news.google.com/news?hl=en&amp;q=news&lt;/a>",""
"من أخبار اليوم","теми в развитие","notícies amb cobertura creixent","Také by vás mohlo zajímat...","artikler under udvikling","aufkommende Themen","τρέχοντα γεγονότα","developing stories","developing stories","Noticias con cobertura creciente","arenevad lood","nousussa","à voir aussi","कहानियों का विकास","priče na pomolu","aktuális hírek","berita hangat","","notizie in sviluppo","סיפורים מתפתחים","新着ニュース","최신뉴스","populiarėjančios istorijos","Rītdienas ziņas","വാര്‍ത്തകള്‍ വികസിപ്പിക്കല്‍","artikelen in ontwikkeling","artikler under utvikling","tematy zyskujące popularność","últimas notícias","últimas notícias","subiecte de amploare crescândă","набирающие популярность","vyvíjajúce sa správy","preberite tudi","вести растуће важности","Aktuella artiklar","செய்திகள் உருவாக்குதல்","అభివృద్ది అవుతున్న కధనాలు","ข่าวน่าจับตา","gelişmeye devam eden haberler","що набирають популярність","tin bài đang được quan tâm","追踪报道","追蹤報導","","","","","","","","","","","","","","","","","noun","Stories that probably won't have as much coverage as the top stories for a given day, but are becoming more important.",""
"إصدار","","","vydání","udgave","Ausgabe","έκδοση","edition","edition","edición","","","édition","संस्करण","","kiadás","edisi","","edizione","מהדורת","版","버전","","","പതിപ്പ്","versie","utgave","wydanie","edição","Edição","ediție","выпуск","edícia","","издање за","version","பதிப்பு","ఎడిషన్","ฉบับ","sürüm","випуск","ấn bản","版本","版","","","","","","","","","","","","","","","","","noun","A localized Google News property (homepage and related webpages).  An 'edition' corresponds to a market, or roughly speaking, a country or country+language. The UI of the edition is localized into the corresponding language, and the news articles and publications surfaced in it are often local to the market.",""
"الصفحة الأولى","първа страница","pàgina d'inici","úvodní stránka","forside","Titelseite","αρχική σελίδα","frontpage","frontpage","página principal","esileht","etusivu","première page","मुखपृष्ठ","naslovnica","kezdőoldal","laman depan","upphafssíða","prima pagina","דף ראשון","トップページ","메인 페이지","pradžios puslapis","Pirmā lapa","മുന്‍പേജ്","voorpagina","forside","pierwsza strona","primeira página","primeira página","prima pagină","главная страница","titulná strana","začetna stran","главна страница","förstasidan","முதல்பக்கம்","మొదటి పేజి","หน้าหนึ่ง","ön sayfa","головна сторінка","trang chủ","资讯首页","首頁","","","","","","","","","","","","","","","","","noun","The page on Google News where a user usually accesses the product. Example: http://www.google.com/news?pz=1&amp;ned=us",""
"مصدر الأخبار","новинарски източник","font de les notícies","zpravodajský zdroj","nyhedskilde","Nachrichtenquelle","πήγη είδησης","news source","news source","fuente de noticias","uudiste allikas","uutislähde","source d'actualités","समाचार स्रोत","izvor vijesti","hírforrás","sumber berita","fréttaveita","fonte di notizie","מקור חדשותי","ニュース提供元","뉴스 매체","naujienų šaltinis","Ziņu avots","വാര്‍ത്താ ഉറവിടം","nieuwsbron","nyhetskilde","źródło wiadomości","fonte de notícias","fonte noticiosa (pl. fontes noticiosas)","sursă de ştiri","источник новостей","zdroj správ","vir novic","извор вести","nyhetskälla","செய்தி மூலம்","వార్తల మూలం","แหล่งข่าว","haber kaynağı","джерело новин","nguồn tin tức","新闻媒体","新聞來源","","","","","","","","","","","","","","","","","noun","A news publication that gives information, from which articles are aggregated into Google News.",""
"بحث أرشيف الأخبار من Google","","Google News Archive Search","","Søgning i Googles nyhedsarkiv","Google News Archivsuche","Αναζήτηση σε αρχεία Eιδήσεων Google","Google News Archive Search","","Búsqueda en el archivo de Google Noticias","Google News Archive Search","Google-uutisarkistohaku","Recherche d'archives de Google Actualités","Google समाचार संग्रह खोज","Google pretraživanje arhive vijesti","Keresés a Google hírarchívumában","Penelusuran Arsip Google Warta","Google News Archive Search","Ricerca Archivio di Google News","חיפוש ארכיון של חדשות Google","Google ニュース アーカイブ検索","Google 뉴스 자료실 검색","„Google“ naujienų archyvo paieška","Meklēšana Google ziņu ahīvā","Google News Archive Search","Google News Archive Search","","Wyszukiwanie w archiwum Google News","","Pesquisa no arquivo do Google Notícias","Google News Archive Search","Поиск в архиве Новостей Google","Vyhľadávanie v archíve Google News","Google News Archive Search","Google News Archive Search","","Google News Archive Search","Google News Archive Search","Google ค้นคลังข่าว","Google Haberler Arşiv Araması","","","Google 新闻档案搜索","Google 新聞封存搜尋","Google News Archive Search","Chwilio Archif Newyddion Google","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","गुगल समाचार संग्रह खोज","Google News Archive Search","","","","","noun","Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"نظام حظر الإشتراك غير المدفوع","","","placený obsah","betalingsvæg","(die) Paywall","τείχος πληρωμής","paywall","paywall","paywall","","","paywall","paywall","","fizetőfal","paywall","","paywall","חומת תשלום","ペイウォール","페이월","","","പേവാൾ","betaalmuur","betalingsmur","paywall","paywall","paywall","sistem paywall","платный доступ","platená zóna","","пејвол","betalvägg","கட்டணத் திரை","పేవాల్","เพย์วอลล์","ödeme duvarı","плата за перегляд","tường phí","付费墙","付費牆","","","","","","","","","","","","","","","","","noun","A paywall is a system that prevents Internet users from accessing webpage content without a paid subscription.",""
"الناشر","","","vydavatel","udgiver","Verlag und Webpublisher (both required for DE)","εκδότης","publisher","publisher","","","","éditeur","प्रकाशक","","kiadó","penerbit","","editore","מוציא לאור","ニュース メディア","게시자","","","പ്രസാധകൻ","uitgever","utgiver","wydawca","editor","publicador","editor","издатель","vydavateľ","","издавач","utgivare","வெளியிடுபவர்","ప్రచురణకర్త","ผู้จัดพิมพ์","yayıncı","видавець","nhà xuất bản","出版商（when refer to a single person, pls use 发布者）","發佈者","","","","","","","","","","","","","","","","","noun","In News, this can be either the publishing house or the web publisher who owns a news source/website.",""
"الملكية","","","vlastnictví","ejerskab","Inhaberschaft","ιδιοκτησία","ownership","ownership","","","","propriété","स्वामित्व","","tulajdonjog","kepemilikan","","proprietà","בעלות","オーナー","소유권","","","ഉടമസ്ഥാവകാശം","eigendom","eierskap","własność","propriedade","propriedade","drept de proprietate","право собственности","vlastníctvo","","власништво","ägarskap","உரிமை","యాజమాన్యం","ผู้เป็นเจ้าของ","sahiplik","право власності","quyền sở hữu","所有权","擁有權","","","","","","","","","","","","","","","","","noun","In News, this refers to who owns a news source/website (it can be a publishing house or web publisher).",""
"منوعات","Шоубизнес","Entreteniment","Kultura","Underholdning","Unterhaltung","Διασκέδαση","Entertainment","Entertainment","Espectáculos","Meelelahutus","viihde","Divertissement","मनोरंजन","Zabava","szórakozás","hiburan","Afþreying","Spettacoli","תרבות ובידור","エンタメ","연예","Pramogos","Izklaide","വിനോദം","Entertainment","Underholdning","Rozrywka","Entretenimento","Cultura","Divertisment","Культура","Zábava","zabava","Забава","Kultur & nöje","பொழுதுபோக்கு","వినోదం","บันเทิง","Eğlence","Розваги","Giải trí","娱乐","娛樂","","","","","","","","","","","","","","","","","noun","Section: One of the 9 standard sections in Google News. Link to a page containing entertainment information: http://www.google.com/news?topic=e",""
"تنبيهات الأخبار من Google","Google Новинарски сигнали","Google News Alerts","Google News Alerts","Google Nyhedsunderretninger","Google News Alerts","Ειδοποιήσεις Ειδήσεων Google","Google News Alerts","Google News Alerts","Alertas de Google Noticias","Google News Alerts","","Alertes Google Actualités","Google समाचार अलर्ट","Google News Alerts","Google Hírértesítő","Google News Alerts","Google News Alerts","Google News Alert","התראות של חדשות Google","","","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Alerty Google News","","Alertas do Google Notícias","Alerte ştiri Google","","Google News Alerts","Google News Alerts","Обавештења Google вести","Google News Alerts","Google News Alerts","Google News Alerts","Google แจ้งข่าว","Google Haberler Uyarıları","","Google News Alerts","Google 快讯","Google 快訊","Google News Alerts","Rhybuddion Newyddion Google","Alertas de Google Noticias","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","Google News Alerts","गुगल समाचार सतर्कहरू","Google News Alerts","","Google News Alerts","Alertas de Google Noticias","Google News Alerts","noun","Google News Alerts allows you to receive comprehensive up-to-date news coverage, aggregated from sources all over the world. Users can set up alerts about a specific topic by setting any number of keywords or phrases. The alert is sent via the user's email address.",""
